STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;NSH_TAG;SH_TAG;eor
       3362;20180819;    3;   0.0;   0;-999;-999;eor
       3362;20180820;    3;   0.0;   0;-999;-999;eor
       3362;20180821;    3;   0.0;   0;-999;-999;eor
       3362;20180822;    3;   0.0;   0;-999;-999;eor
       3362;20180823;    3;   0.0;   6;-999;-999;eor
       3362;20180824;    3;   1.6;   6;-999;-999;eor
       3362;20180825;    3;   0.7;   6;-999;-999;eor
       3362;20180826;    3;   0.0;   0;-999;-999;eor
       3362;20180827;    3;   0.0;   6;-999;-999;eor
       3362;20180828;    3;   0.0;   0;-999;-999;eor
       3362;20180829;    3;   0.0;   6;-999;-999;eor
       3362;20180830;    3;   0.0;   6;-999;-999;eor
       3362;20180831;    3;   5.0;   4;-999;-999;eor
       3362;20180901;    3;   1.5;   4;-999;-999;eor
       3362;20180902;    3;   0.5;   4;-999;-999;eor
       3362;20180903;    3;   0.0;   6;-999;-999;eor
       3362;20180904;    3;   0.0;   0;-999;-999;eor
       3362;20180905;    3;   0.0;   0;-999;-999;eor
       3362;20180906;    3;   8.2;   8;-999;-999;eor
       3362;20180907;    3;   0.0;   6;-999;-999;eor
       3362;20180908;    3;   0.0;   0;-999;-999;eor
       3362;20180909;    3;   0.0;   0;-999;-999;eor
       3362;20180910;    3;   0.0;   0;-999;-999;eor
       3362;20180911;    3;   0.0;   0;-999;-999;eor
       3362;20180912;    3;   0.7;   6;-999;-999;eor
       3362;20180913;    3;   2.1;   4;-999;-999;eor
       3362;20180914;    3;   0.0;   0;-999;-999;eor
       3362;20180915;    3;   0.0;   0;-999;-999;eor
       3362;20180916;    3;   0.0;   0;-999;-999;eor
       3362;20180917;    3;   0.0;   0;-999;-999;eor
       3362;20180918;    3;   0.0;   0;-999;-999;eor
       3362;20180919;    3;   0.0;   0;-999;-999;eor
       3362;20180920;    3;   0.0;   0;-999;-999;eor
       3362;20180921;    3;   0.3;   6;-999;-999;eor
       3362;20180922;    3;   1.5;   6;-999;-999;eor
       3362;20180923;    3;  23.6;   8;-999;-999;eor
       3362;20180924;    3;   0.0;   0;-999;-999;eor
       3362;20180925;    3;   0.0;   0;-999;-999;eor
       3362;20180926;    3;   0.0;   0;-999;-999;eor
       3362;20180927;    3;   0.0;   0;-999;-999;eor
       3362;20180928;    3;   0.0;   4;-999;-999;eor
       3362;20180929;    3;   0.0;   0;-999;-999;eor
       3362;20180930;    3;   0.0;   0;-999;-999;eor
       3362;20181001;    3;   0.4;   4;-999;-999;eor
       3362;20181002;    3;   0.0;   6;-999;   0;eor
       3362;20181003;    3;   0.1;   6;-999;   0;eor
       3362;20181004;    3;   0.0;   0;-999;   0;eor
       3362;20181005;    3;   0.0;   0;-999;   0;eor
       3362;20181006;    3;   0.0;   0;-999;   0;eor
       3362;20181007;    3;   0.0;   0;-999;   0;eor
       3362;20181008;    3;   0.0;   0;-999;   0;eor
       3362;20181009;    3;   0.0;   0;-999;   0;eor
       3362;20181010;    3;   0.0;   0;-999;   0;eor
       3362;20181011;    3;   0.0;   6;-999;   0;eor
       3362;20181012;    3;   0.0;   0;-999;   0;eor
       3362;20181013;    3;   0.0;   0;-999;   0;eor
       3362;20181014;    3;   0.0;   0;-999;   0;eor
       3362;20181015;    3;   0.0;   0;-999;   0;eor
       3362;20181016;    3;   0.0;   0;-999;   0;eor
       3362;20181017;    3;   0.0;   0;-999;   0;eor
       3362;20181018;    3;   0.0;   0;-999;   0;eor
       3362;20181019;    3;   0.0;   0;-999;   0;eor
       3362;20181020;    3;   0.0;   0;-999;   0;eor
       3362;20181021;    3;   0.0;   0;-999;   0;eor
